Playlist_Name,Username,Track_Title,Track_ID,Artist,Duration_ms,Popularity,Explicit,Album,Release_Date,Label,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Time_Signature
Elden Ring (but everyone's hollow),pansy,All Our Thoughts,4NLhF5E3alzEJr4qnFFo9m,Kadavar,277000,40,False,Kadavar,2012-07-13,This Charming Man Records,0.244,0.871,9,-4.309,0.0568,0.172,0.00879,0.0759,162.708,4
Elden Ring (but everyone's hollow),pansy,Lost Hope,5DDLQt3wb1xG9gBTAmWAFp,I Quu,185835,35,True,Lost Hope,2019-12-15,1577676 Records DK,0.763,0.625,10,-7.987,0.402,0.055,0,0.0848,123.774,4
Elden Ring (but everyone's hollow),pansy,Why God Why? - Live,5KMR4bfBV3EeEDU9P0p7mO,Miss Saigon Original Cast,254746,37,False,Miss Saigon: The Definitive Live Recording (Original Cast Recording / Deluxe),2014-01-01,Polydor Records,0.322,0.447,9,-11.989,0.0711,0.627,1.07e-06,0.907,76.04,4
Elden Ring (but everyone's hollow),pansy,Left to Suffer,0wC9dEq4vanPGSOJZWcWFu,Broken Humanity,208352,4,False,Left to Suffer,2017-03-24,FWH Distribution,0.222,0.919,6,-3.994,0.104,2.25e-05,0.215,0.128,145.474,4
Elden Ring (but everyone's hollow),pansy,Death Awaits Us All,6gjO4os1uyxuEVnkPM4gzY,Within Destruction,304707,25,False,Deathwish,2018-03-30,Unique Leader Records,0.207,0.986,11,-3.336,0.19,5.32e-06,0.893,0.253,140.018,4
Elden Ring (but everyone's hollow),pansy,LET ME DIE,3OQFgkF0hVKmVeNCkAjdxQ,Night Lovell,144750,54,True,GOODNIGHT LOVELL,2019-02-22,SCPP,0.876,0.828,9,-3.555,0.0459,0.525,0.036,0.119,119.985,4
Elden Ring (but everyone's hollow),pansy,Dissapointment,4IYgpWumrDTSNdAtaQuYtS,Arkad,607798,0,True,Lost Spirit In The Woods,2020-02-07,Arkad,0.163,0.92,4,-6.518,0.182,0.707,2.17e-05,0.258,173.726,3
Elden Ring (but everyone's hollow),pansy,No Options,6sQw4EPBb4mNexcKJWYhbz,Broken Humanity,172546,2,False,Mindcrusher,2019-06-21,FWH Records,0.308,0.951,6,-4.034,0.0717,0.000173,0.473,0.134,139.979,4
Elden Ring (but everyone's hollow),pansy,End This Life,1G81YfojyOE0ehbyVLhNhh,Blood for Betrayal,174599,4,False,Restrained,2019-10-10,FWH Records,0.375,0.986,11,-1.874,0.119,8.6e-06,0.0795,0.164,131.511,4
Elden Ring (but everyone's hollow),pansy,Constant Struggle,3dx5Q5XBOKkgEFXh3JAcIg,Blood for Betrayal,167942,3,False,Restrained,2019-10-10,FWH Records,0.283,0.97,2,-1.931,0.138,8.32e-06,0.386,0.111,180.121,3
Elden Ring (but everyone's hollow),pansy,No Salvation,0tKsyeCCYFzJ42mU5Ep7Fh,World Of Tomorrow,166138,15,False,South German Brutality,2017-12-15,Bleeding Nose Records,0.368,0.961,11,-3.604,0.183,0.0287,4.69e-05,0.181,109.382,3
